neighborhood code,neighborhood name,district name,average monthly rent,total population,female life expectancy,male life expectancy,birth rate,mortality rate,immigration rate,most common age range immigrants,most common immigrant origin,emigration rate,most common age range emigrants,unemployment rate,month most unemployment,number bus stops,number public transport stops,number car accidents,most common car accident day
1,"el Raval",Ciutat Vella,734.99,47608,85.3,76.5,17.8121324147202,7.26768610317594,11.3426314905058,25-29,Pakistan,4.4215257939842,30-34,10.483980049032,February,42,14,150,Tuesday
2,"el Barri Gòtic",Ciutat Vella,905.26,16062,84.4,78.7,14.8798406176068,8.09363715602042,16.7289254140207,25-29,Italy,4.85618229361225,25-29,8.36239087963993,February,39,4,178,Friday
3,"la Barceloneta",Ciutat Vella,722.78,14996,84.7,75.9,18.0048012803414,11.26967191251,11.7297946118965,25-29,Italy,4.76126967191251,35-39,11.1619127516779,January,48,2,138,Thursday
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,895.28,22721,85.3,78.3,15.3162272787289,7.39404075524845,12.1693587430131,25-29,Italy,4.53325117732494,30-34,9.76512569237324,February,38,6,134,Friday
5,"el Fort Pienc",Eixample,871.08,32016,86.7,81.4,17.616191904048,10.4010494752624,6.98713143428286,25-29,Italy,3.3764367816092,30-34,6.77328155868928,February,40,11,277,Friday
6,"la Sagrada Família",Eixample,847.04,51539,87.2,81.3,17.966976464425,10.3998913444188,6.96753914511341,25-29,Italy,3.27130910572576,30-34,6.91127006429088,February,49,9,377,Thursday
7,"la Dreta de l'Eixample",Eixample,1151.09,44052,85.1,80.1,19.1137746299827,11.3048215745029,7.26414237719059,25-29,Italy,3.33469536002906,30-34,5.14735224869308,February,137,61,1167,Wednesday
8,"l'Antiga Esquerra de l'Eixample",Eixample,1001.49,42284,86.9,80.8,18.5412922145492,10.5004256929335,8.1993188913064,25-29,Italy,3.24945605902942,30-34,5.87404556459122,March,88,8,588,Tuesday
9,"la Nova Esquerra de l'Eixample",Eixample,909.08,58180,88.7,81,17.6864902028188,9.77999312478515,6.98178068064627,25-29,Italy,3.36713647301478,30-34,6.6588203340727,February,35,12,387,Tuesday
10,"Sant Antoni",Eixample,876.97,38345,87.6,79.8,17.2121528230539,9.33628895553527,6.4936758377885,25-29,Italy,3.42678315295345,30-34,7.28511711462724,February,56,19,233,Friday
13,"la Marina de Port",Sants-Montjuïc,689.16,30584,87.7,80,16.642688987706,8.92623594036097,4.90125555846194,25-29,China,3.35796494899294,30-34,9.2618843069874,March,54,0,105,Thursday
14,"la Font de la Guatlla",Sants-Montjuïc,806.34,10401,84.3,78.8,20.7672339198154,13.8448226132103,6.2109412556485,25-29,Italy,3.77848283818864,35-39,9.1714921114468,February,7,0,46,Tuesday
15,"Hostafrancs",Sants-Montjuïc,680.17,15904,87.4,79.8,18.4230382293763,9.49446680080483,7.28747484909457,25-29,Italy,4.08073440643863,30-34,7.55947607591553,February,28,7,125,Wednesday
16,"la Bordeta",Sants-Montjuïc,739.35,18530,86.3,80.9,17.4851592012952,9.06637884511603,5.09983810037777,25-29,Italy,3.68051807879115,30-34,7.8743566023862,February,22,2,97,Monday
17,"Sants - Badal",Sants-Montjuïc,697.58,23987,87.7,82,17.9680660357694,9.46345937382749,6.15333305540501,25-29,China,4.22728978196523,30-34,6.47134636678829,February,19,4,71,Tuesday
18,"Sants",Sants-Montjuïc,737.27,41127,86.1,81.6,18.3091399810344,10.1636394582634,6.90300775646169,25-29,Italy,4.01682592943808,30-34,7.24289108362366,February,48,21,177,Monday
19,"les Corts",Les Corts,936.32,46009,88.1,82.4,17.9530091938534,9.82416483731444,4.94685822339108,25-29,Italy,2.99723967049925,30-34,6.89021861484685,February,67,9,319,Thursday
20,"la Maternitat i Sant Ramon",Les Corts,896.45,23948,89,83.5,16.8698847502923,8.26791381326207,5.57457825288124,25-29,Venezuela,3.75396692834475,30-34,6.72487832808474,February,65,10,203,Friday
21,"Pedralbes",Les Corts,1856.57,12076,88.4,83.6,14.8227890029811,9.52302086783703,6.32659821132825,25-29,France,3.15501821795296,30-34,3.14999420424249,February,75,5,204,Wednesday
